mzML_file	polarity	time	storage	replicate	time_stamp	injection_idx
20170802_2d_BAG_b_POS.mzML	POS	2d	BAG	b	2017-08-02 22:15:56	57
20170802_2w_BAG_c_POS.mzML	POS	2w	BAG	c	2017-08-02 22:24:40	58
20170802_6h_RT_c_POS.mzML	POS	6h	RT	c	2017-08-02 22:36:26	59
20170802_2h_RT_b_POS.mzML	POS	2h	RT	b	2017-08-02 22:45:10	60
20170802_1d_RT_c_POS.mzML	POS	1d	RT	c	2017-08-02 22:56:56	61
20170802_3d_BAG_b_POS.mzML	POS	3d	BAG	b	2017-08-02 23:05:39	62
20170802_2w_VACUM_a_POS.mzML	POS	2w	VACUUM	a	2017-08-02 23:17:26	63
20170802_QC_8_POS.mzML	POS	QC	QC		2017-08-02 23:26:10	64
20170802_6h_4C_VACUM_b_POS.mzML	POS	6h	4C_VACUUM	b	2017-08-02 23:37:55	65
20170802_1d_4C_BAG_b_POS.mzML	POS	1d	4C_BAG	b	2017-08-02 23:46:39	66
20170802_2d_VACUM_c_POS.mzML	POS	2d	VACUUM	c	2017-08-02 23:58:25	67
20170802_2d_RT_b_POS.mzML	POS	2d	RT	b	2017-08-03 00:07:09	68
20170802_2d_4C_VACUM_a_POS.mzML	POS	2d	4C_VACUUM	a	2017-08-03 00:18:56	69
20170802_3d_4C_VACUM_a_POS.mzML	POS	3d	4C_VACUUM	a	2017-08-03 00:27:40	70
20170802_2w_4C_VACUM_b_POS.mzML	POS	2w	4C_VACUUM	b	2017-08-03 00:39:25	71
20170802_1w_4C_BAG_b_POS.mzML	POS	1w	4C_BAG	b	2017-08-03 00:48:10	72
20170802_QC_9_POS.mzML	POS	QC	QC		2017-08-03 00:59:57	73
20170802_1w_4C_BAG_a_POS.mzML	POS	1w	4C_BAG	a	2017-08-03 01:08:41	74
20170802_1d_VACUM_c_POS.mzML	POS	1d	VACUUM	c	2017-08-03 01:20:28	75
20170802_6h_VACUM_a_POS.mzML	POS	6h	VACUUM	a	2017-08-03 01:29:12	76
20170802_2h_RT_a_POS.mzML	POS	2h	RT	a	2017-08-03 01:40:58	77
20170802_6h_4C_BAG_b_POS.mzML	POS	6h	4C_BAG	b	2017-08-03 01:49:42	78
