storage	time	significant
RT	a6h	3
RT	b1d	8
RT	c2d	21
RT	d3d	28
RT	e1w	30
RT	f2w	28
BAG	a6h	6
BAG	b1d	9
BAG	c2d	30
BAG	d3d	34
BAG	e1w	25
BAG	f2w	27
VACUUM	a6h	6
VACUUM	b1d	11
VACUUM	c2d	31
VACUUM	d3d	36
VACUUM	e1w	11
VACUUM	f2w	22
4C_BAG	a6h	5
4C_BAG	b1d	24
4C_BAG	c2d	29
4C_BAG	d3d	25
4C_BAG	e1w	12
4C_BAG	f2w	21
4C_VACUUM	a6h	5
4C_VACUUM	b1d	12
4C_VACUUM	c2d	33
4C_VACUUM	d3d	32
4C_VACUUM	e1w	26
4C_VACUUM	f2w	25
