"name"	"rt_width"	"mz_width"	"mz_width_ppm"	"mz_ppm"	"multi_pk_count"	"QC"	"X4C_VACUUM"	"RT"	"BAG"	"X4C_BAG"	"VACUUM"	"delta_rt"
"Pyridoxic Acid"	9.24169863013726	0.00221927784832821	12.0576109391288	23.6859263084032	1	100	61.1111111111111	71.4285714285714	50	88.8888888888889	50	-5
"SAH"	3.75293902439049	0.00430187903856657	11.1699590888615	1.839263533381	0	100	66.6666666666667	100	66.6666666666667	72.2222222222222	66.6666666666667	-3
"SAMe"	3.26923913043652	0.00495953275064973	12.3942514398236	11.2877453291988	0	0	50	52.3809523809524	38.8888888888889	66.6666666666667	38.8888888888889	0
"SDMA"	8.57218095238571	0.000523091973508101	2.57490230571301	0.653382514340701	0	100	100	100	100	100	100	-2
"Serine"	4.99021904762057	0.000344994934669698	3.25313918311947	0.932503331660431	0	100	100	100	100	100	100	-2
"Sorbitol"	5.57766071428822	0.00179166786814149	8.73682670250006	4.66238053721568	7	100	100	100	100	100	100	-1
"Spermidine"	3.58728571428858	0.00106174087194891	7.26399064375549	1.98609037333726	0	0	11.1111111111111	0	5.55555555555556	11.1111111111111	11.1111111111111	0
"Spermine"	4.464	0.00295208922253209	14.5263886973448	1.43197434662464	0	0	11.1111111111111	0	0	11.1111111111111	11.1111111111111	-2
"Sphingosine"	4.35719626168374	0.00140690976426015	4.68523152293159	2.50463559354828	2	100	100	100	100	100	100	-7
"Sphingosine-1-phosphate"	4.21051515151818	0.00503395275643815	13.2383681366578	2.77862047093949	0	33.3333333333333	27.7777777777778	19.047619047619	44.4444444444444	38.8888888888889	27.7777777777778	0
"Suberic Acid"	3.28004878048829	0.00979097158390842	49.6773549408024	63.5897115105649	1	50	22.2222222222222	57.1428571428571	38.8888888888889	38.8888888888889	22.2222222222222	-8
"Succinylacetone"	2.85975	0.00392743998277467	21.6928521359919	3.42753292045203	0	0	0	9.52380952380952	11.1111111111111	22.2222222222222	0	0
"Sucrose"	6.0645694444425	0.00300806234583699	8.23887292594292	1.7634178331553	18	0	55.5555555555556	61.9047619047619	44.4444444444444	66.6666666666667	61.1111111111111	-2
"Taurine"	6.04780000000286	0.000492898103980332	3.91121154762574	1.10160188663718	0	100	100	100	100	100	100	-2
"Tetrahydrobiopterin"	4.35217763158184	0.00250862086075823	9.49805517160492	48.1563307726962	47	100	100	100	100	100	100	26
"Threonic Acid"	5.1894	0.00185733551188605	11.6793990073899	5.68800642409607	0	0	0	23.8095238095238	0	0	0	-8
"Threonine"	6.22318095238399	0.000324669047788819	2.70410163714831	1.35984468884602	0	100	100	100	100	100	100	-3
"Trimethylamine"	4.4641250000025	0.00124559098444887	20.7315657207654	18.4694561780088	3	0	5.55555555555556	19.047619047619	0	0	0	-1
"Tryptophan"	5.29591588785084	0.000460969288994173	2.24756673765314	1.05432714197003	2	100	100	100	100	100	100	-5
"Tyrosine"	5.23472380952686	0.00115878754354391	6.36415246256026	4.15796452652953	0	100	100	100	100	100	100	-8
"UMP"	4.92054545454546	0.00127321667493809	3.91706115951955	1.78896317203229	0	0	0	28.5714285714286	0	0	27.7777777777778	-15
